Date,Open,High,Low,Close,Volume,OpenInt
1/2/1962,0.6277,0.6362,0.6201,0.6201,2575579,0
1/3/1962,0.6201,0.6201,0.6122,0.6201,1764749,0
1/4/1962,0.6201,0.6201,0.6037,0.6122,2194010,0
1/5/1962,0.6122,0.6122,0.5798,0.5957,3255244,0
1/8/1962,0.5957,0.5957,0.5716,0.5957,3696430,0
1/9/1962,0.5957,0.6037,0.5878,0.5957,2778285,0
1/10/1962,0.5957,0.6037,0.5957,0.5957,2337096,0
1/11/1962,0.5957,0.5957,0.5878,0.5957,1943605,0
1/12/1962,0.5957,0.6037,0.5878,0.5878,2015151,0
1/15/1962,0.5957,0.5957,0.5957,0.5957,2527879,0
1/16/1962,0.5957,0.6037,0.5957,0.6037,1657434,0
1/17/1962,0.6037,0.6037,0.5878,0.5878,2551729,0
1/18/1962,0.5878,0.5957,0.5878,0.5957,1764749,0
1/19/1962,0.5957,0.6037,0.5957,0.6037,1585893,0
1/22/1962,0.6037,0.6122,0.6037,0.6037,1693206,0
1/23/1962,0.6037,0.6037,0.5878,0.5878,2718664,0
1/24/1962,0.5878,0.6037,0.5878,0.6037,1907836,0
1/25/1962,0.6037,0.6037,0.5957,0.5957,1895910,0
1/26/1962,0.5957,0.5957,0.5957,0.5957,1204322,0
1/29/1962,0.5957,0.5957,0.5957,0.5957,1216242,0
1/30/1962,0.6037,0.6122,0.6037,0.6037,2122467,0
1/31/1962,0.6037,0.6277,0.6037,0.6277,2241705,0
2/1/1962,0.6277,0.6277,0.6122,0.6201,3064461,0
2/2/1962,0.6201,0.6201,0.6201,0.6201,1764749,0
2/5/1962,0.6201,0.6201,0.6122,0.6122,1681280,0
2/6/1962,0.6122,0.6201,0.6122,0.6201,1240089,0
2/7/1962,0.6201,0.6277,0.6201,0.6277,2015151,0
2/8/1962,0.6277,0.6277,0.6201,0.6277,2098620,0
2/9/1962,0.6277,0.6277,0.6201,0.6277,1800521,0
2/12/1962,0.6277,0.6277,0.6201,0.6277,977764,0
2/13/1962,0.6277,0.6362,0.6277,0.6362,1442802,0
2/14/1962,0.6362,0.6442,0.6362,0.6362,1931684,0
2/15/1962,0.6362,0.652,0.6362,0.6442,2229783,0
2/16/1962,0.6442,0.652,0.6362,0.6442,2790211,0
2/19/1962,0.6442,0.6442,0.6362,0.6362,1860141,0
2/20/1962,0.6362,0.6362,0.6277,0.6362,1275864,0
2/21/1962,0.6362,0.6442,0.6277,0.6362,1287786,0
2/23/1962,0.6362,0.6362,0.6277,0.6277,1943605,0
2/26/1962,0.6277,0.6277,0.6122,0.6201,1502420,0
2/27/1962,0.6201,0.6277,0.6201,0.6277,1108929,0
2/28/1962,0.6277,0.6277,0.6201,0.6201,1979380,0
3/1/1962,0.6277,0.6362,0.6277,0.6362,1085082,0
3/2/1962,0.6362,0.6442,0.6362,0.6362,1502420,0
